,42_5
0,0
1,2
2,3
3,4
4,5
5,7
6,9
7,10
8,11
9,12
10,13
11,14
12,15
13,16
14,17
15,18
16,19
17,22
18,23
19,24
20,25
21,26
22,27
23,29
24,30
25,31
26,33
27,34
28,35
29,36
30,37
31,38
32,39
33,40
34,41
35,42
36,43
37,44
38,47
39,48
40,50
41,51
42,52
43,53
44,55
45,56
46,57
47,58
48,60
49,61
50,63
51,65
52,66
53,67
54,68
55,69
56,70
57,71
58,72
59,73
60,74
61,75
62,76
63,78
64,79
65,81
66,82
67,83
68,84
69,85
70,86
71,87
72,88
73,90
74,92
75,93
76,94
77,95
78,96
79,97
80,98
81,99
82,100
83,102
84,103
85,105
86,106
87,108
88,109
89,111
90,112
91,114
92,116
93,117
94,118
95,120
96,121
97,122
98,123
99,124
100,125
101,126
102,128
103,129
104,131
105,132
106,133
107,134
108,135
109,136
110,137
111,138
112,139
113,140
114,141
115,144
116,145
117,146
118,148
119,149
120,150
121,151
122,152
123,153
124,154
125,155
126,156
127,158
128,159
129,160
130,161
131,162
132,163
133,166
134,167
135,168
136,169
137,170
138,171
139,173
140,175
141,177
142,178
143,179
144,180
145,181
146,183
147,184
148,185
149,186
150,187
151,190
152,191
153,192
154,193
155,194
156,195
157,196
158,197
159,198
160,199
161,201
162,202
163,203
164,205
165,206
166,207
167,208
168,210
169,211
170,213
171,214
172,215
173,217
174,219
175,221
176,222
177,223
178,224
179,225
180,226
181,227
182,228
183,229
184,230
185,232
186,233
187,234
188,235
189,236
190,237
191,239
192,240
193,241
194,242
195,244
196,245
197,246
198,247
199,248
200,249
201,252
202,253
203,254
204,255
205,256
206,257
207,258
208,261
209,262
210,263
211,264
212,265
213,267
214,268
215,270
216,271
217,272
218,274
219,275
220,276
221,277
222,278
223,279
224,280
225,281
226,282
227,283
228,285
229,286
230,287
231,288
232,289
233,290
234,291
235,292
236,293
237,294
238,295
239,296
240,298
241,299
242,301
243,302
244,305
245,306
246,307
247,308
248,309
249,311
250,313
251,314
252,315
253,316
254,318
255,319
256,320
257,321
258,322
259,323
260,324
261,326
262,327
263,328
264,329
265,330
266,331
267,332
268,335
269,336
270,337
271,338
272,339
273,340
274,341
275,342
276,343
277,344
278,346
279,348
280,349
281,350
282,351
283,353
284,355
285,356
286,357
287,358
288,359
289,360
290,361
291,362
292,363
293,364
294,365
295,366
296,368
297,369
298,371
299,372
300,373
301,375
302,377
303,378
304,380
305,381
306,382
307,383
308,385
309,386
310,387
311,388
312,389
313,390
314,392
315,393
316,394
317,395
318,397
319,398
320,401
321,402
322,403
323,404
324,405
325,406
326,408
327,410
328,411
329,412
330,413
331,414
332,415
333,416
334,417
335,418
336,419
337,420
338,422
339,423
340,424
341,425
342,426
343,428
344,429
345,431
346,432
347,433
348,434
349,435
350,437
351,438
352,439
353,441
354,442
355,443
356,444
357,446
358,447
359,448
360,450
361,451
362,452
363,453
364,454
365,456
366,457
367,458
368,459
369,460
370,462
371,463
372,464
373,465
374,466
375,467
376,468
377,471
378,472
379,473
380,475
381,476
382,477
383,479
384,480
385,481
386,482
387,483
388,485
389,486
390,487
391,488
392,489
393,490
394,491
395,492
396,493
397,496
398,497
399,498
400,499
401,500
402,502
403,503
404,504
405,506
406,507
407,509
408,510
409,511
410,512
411,513
412,514
413,515
414,516
415,517
416,518
417,520
418,521
419,522
420,523
421,526
422,527
423,528
424,529
425,530
426,531
427,532
428,535
429,536
430,537
431,540
432,541
433,542
434,543
435,544
436,545
437,547
438,548
439,549
440,550
441,552
442,553
443,554
444,555
445,556
446,557
447,559
448,560
449,561
450,562
451,563
452,564
453,565
454,566
455,568
456,569
457,570
458,571
459,572
460,573
461,574
462,575
463,577
464,578
465,580
466,581
467,582
468,584
469,585
470,588
471,589
472,590
473,591
474,592
475,593
476,594
477,596
478,597
479,599
480,600
481,601
482,602
483,603
484,605
485,606
486,607
487,609
488,610
489,611
490,612
491,613
492,616
493,617
494,618
495,619
496,620
497,621
498,622
499,623
500,625
501,626
502,627
503,628
504,629
505,630
506,631
507,632
508,633
509,634
510,635
511,636
512,637
513,638
514,643
515,644
516,645
517,646
518,647
519,649
520,650
521,651
522,652
523,653
524,654
525,656
526,657
527,658
528,659
529,660
530,661
531,662
532,663
533,664
534,665
535,666
536,667
537,668
538,669
539,670
540,671
541,674
542,675
543,677
544,678
545,679
546,680
547,683
548,684
549,686
550,687
551,688
552,689
553,690
554,691
555,694
556,695
557,696
558,698
559,699
560,700
561,702
562,703
563,704
564,705
565,706
566,707
567,709
568,711
569,712
570,713
571,714
572,715
573,716
574,718
575,719
576,720
577,722
578,723
579,724
580,725
581,727
582,728
583,729
584,730
585,731
586,732
587,734
588,735
589,736
590,738
591,739
592,740
593,741
594,742
595,743
596,744
597,745
598,748
599,749
600,750
601,751
602,752
603,753
604,754
605,755
606,757
607,758
608,759
609,761
610,762
611,763
612,764
613,765
614,766
615,768
616,770
617,772
618,773
619,774
620,775
621,776
622,777
623,779
624,780
625,781
626,782
627,783
628,784
629,786
630,787
631,788
632,790
633,792
634,793
635,794
636,795
637,797
638,798
639,799
640,800
641,801
642,802
643,803
644,804
645,805
646,807
647,809
648,811
649,812
650,813
651,814
652,815
653,816
654,818
655,820
656,822
657,823
658,824
659,826
660,827
661,828
662,829
663,830
664,831
665,833
666,834
667,835
668,836
669,838
670,839
671,840
672,841
673,843
674,844
675,845
676,846
677,847
678,848
679,849
680,850
681,851
682,852
683,853
684,854
685,856
686,857
687,858
688,860
689,861
690,862
691,865
692,866
693,868
694,870
695,872
696,874
697,875
698,876
699,877
700,879
701,880
702,881
703,882
704,884
705,885
706,886
707,887
708,888
709,889
710,890
711,891
712,892
713,893
714,894
715,895
716,896
717,897
718,898
719,900
720,901
721,902
722,904
723,905
724,907
725,908
726,909
727,910
728,911
729,912
730,913
731,914
732,915
733,916
734,918
735,919
736,920
737,921
738,922
739,923
740,924
741,925
742,927
743,928
744,930
745,931
746,932
747,933
748,934
749,936
750,937
751,938
752,939
753,940
754,941
755,942
756,943
757,944
758,945
759,946
760,947
761,948
762,949
763,950
764,951
765,953
766,954
767,956
768,957
769,958
770,961
771,963
772,965
773,966
774,967
775,971
776,972
777,973
778,974
779,975
780,976
781,977
782,978
783,979
784,980
785,981
786,982
787,983
788,984
789,985
790,986
791,987
792,988
793,990
794,991
795,992
796,993
797,996
798,997
799,998
800,999
801,1000
802,1002
803,1003
804,1004
805,1005
806,1007
807,1009
808,1010
809,1011
810,1012
811,1013
812,1015
813,1017
814,1018
815,1019
816,1020
817,1021
818,1022
819,1023
820,1024
821,1025
822,1027
823,1028
824,1030
825,1031
826,1032
827,1033
828,1034
829,1035
830,1036
831,1037
832,1038
833,1039
834,1041
835,1044
836,1045
837,1046
838,1047
839,1048
840,1049
841,1050
842,1052
843,1053
844,1054
845,1056
846,1057
847,1058
848,1059
849,1061
850,1062
851,1063
852,1064
853,1066
854,1067
855,1068
856,1071
857,1073
858,1074
859,1075
860,1077
861,1078
862,1079
863,1080
864,1082
865,1083
866,1084
867,1085
868,1086
869,1087
870,1088
871,1089
872,1090
873,1091
874,1092
875,1093
876,1094
877,1096
878,1097
879,1098
880,1099
881,1100
882,1101
883,1102
884,1103
885,1106
886,1107
887,1108
888,1111
889,1112
890,1113
891,1114
892,1115
893,1116
894,1118
895,1119
896,1120
897,1122
898,1123
899,1124
900,1125
901,1126
902,1127
903,1129
904,1130
905,1131
906,1133
907,1134
908,1135
909,1137
910,1138
911,1139
912,1140
913,1141
914,1142
915,1143
916,1144
917,1146
918,1147
919,1148
920,1150
921,1151
922,1152
923,1154
924,1157
925,1158
926,1159
927,1160
928,1161
929,1162
930,1163
931,1165
932,1166
933,1167
934,1168
935,1169
936,1170
937,1172
938,1173
939,1174
940,1175
941,1176
942,1178
943,1179
944,1180
945,1181
946,1182
947,1183
948,1185
949,1187
950,1188
951,1189
952,1190
953,1191
954,1192
955,1194
956,1195
957,1196
958,1197
959,1199
960,1200
961,1201
962,1202
963,1203
964,1204
965,1205
966,1207
967,1209
968,1210
969,1213
970,1214
971,1215
972,1216
973,1217
974,1218
975,1219
976,1220
977,1221
978,1222
979,1223
980,1224
981,1226
982,1227
983,1228
984,1229
985,1230
986,1232
987,1234
988,1235
989,1236
990,1237
991,1238
992,1239
993,1241
994,1244
995,1245
996,1246
997,1247
998,1248
999,1249
1000,1251
1001,1253
1002,1254
1003,1255
1004,1256
1005,1257
1006,1258
1007,1259
1008,1260
1009,1261
1010,1262
1011,1263
1012,1265
1013,1267
1014,1268
1015,1269
1016,1270
1017,1271
1018,1272
1019,1273
1020,1275
1021,1276
1022,1277
1023,1278
1024,1279
1025,1280
1026,1281
1027,1282
1028,1283
1029,1285
1030,1286
1031,1287
1032,1288
1033,1289
1034,1291
1035,1292
1036,1293
1037,1295
1038,1296
1039,1298
1040,1299
1041,1300
1042,1301
1043,1302
1044,1303
1045,1304
1046,1307
1047,1308
1048,1309
1049,1310
1050,1311
1051,1312
1052,1313
1053,1314
1054,1316
1055,1317
1056,1318
1057,1319
1058,1320
1059,1322
1060,1323
1061,1324
1062,1325
1063,1326
1064,1328
1065,1329
1066,1331
1067,1332
1068,1333
1069,1334
1070,1335
1071,1337
1072,1338
1073,1339
1074,1340
1075,1341
1076,1342
1077,1343
1078,1344
1079,1345
1080,1346
1081,1347
1082,1349
1083,1350
1084,1351
1085,1352
1086,1353
1087,1354
1088,1355
1089,1356
1090,1357
1091,1358
1092,1359
1093,1361
1094,1362
1095,1364
1096,1365
1097,1368
1098,1369
1099,1370
1100,1371
1101,1372
1102,1373
1103,1374
1104,1375
1105,1376
1106,1377
1107,1378
1108,1380
1109,1381
1110,1382
1111,1384
1112,1386
1113,1389
1114,1390
1115,1391
1116,1392
1117,1393
1118,1394
1119,1395
1120,1396
1121,1397
1122,1402
1123,1403
1124,1404
1125,1405
1126,1406
1127,1407
1128,1408
1129,1410
1130,1411
1131,1412
1132,1413
1133,1414
1134,1418
1135,1419
1136,1420
1137,1421
1138,1422
1139,1423
1140,1424
1141,1426
1142,1427
1143,1428
1144,1429
1145,1430
1146,1431
1147,1432
1148,1433
1149,1434
1150,1435
1151,1436
1152,1437
1153,1438
1154,1440
1155,1442
1156,1443
1157,1445
1158,1448
1159,1449
1160,1450
1161,1452
1162,1453
